MolecularWeight,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,molecule_chembl_id,canonical_smiles,log_standard_value
365.3850000000001,4.443800000000003,2,6,84.95,6,CHEMBL4874405,CCN(CCCCCCOc1ccc(C(=O)/C=C/c2ccc(N(C)C)cc2)c(O)c1)Cc1ccc(N(C)C)cc1,3.140193678578631
543.7520000000002,6.881600000000009,1,6,56.25000000000001,16,CHEMBL208988,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(OC)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,4.698978690138799
204.229,1.8078,0,3,41.9,2,CHEMBL3087674,CC(C)Cc1ccc(C(C)C(=O)NCCCNCCCNC2=CC(=O)C(NCCCNCCCNC(=O)C(C)c3ccc(CC(C)C)cc3)=CC2=O)cc1,3.68403703748652
231.226,2.39,2,2,53.09,2,CHEMBL3672730,COC1CCC2(CCc3ccc(-c4cc(Cl)cc(C#N)c4)cc3C23N=C(C)C(N)=N3)CC1,0.6127838567197355
280.415,4.412320000000004,0,2,16.130000000000003,1,CHEMBL5430188,O=C1C(=O)N2CCc3cc4c(c5c3c2c1c1ccccc15)OCO4,4.698978690138799
452.3520000000002,5.366500000000005,2,5,83.39,6,CHEMBL236187,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1ccc(F)cc1,2.0644579892269186
280.32699999999994,3.474800000000002,0,3,41.9,3,CHEMBL3403822,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CC6CN(C(C)C)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,2.0453229787866576
329.35900000000004,4.250600000000002,3,4,74.25,3,CHEMBL4226059,COc1ccc(/C=C/C(=O)N2CCN(Cc3ccc(O)c4ncccc34)CC2)cc1OC,4.277402904076827
424.77000000000015,2.588480000000001,2,7,126.28,3,CHEMBL1090209,O=S(=O)(N[C@@H]1CC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@H]2C1)C(F)(F)F,1.4471580313422192
428.5760000000002,6.176600000000008,0,4,24.940000000000005,8,CHEMBL429449,CC(C)(CO)N1CCN(C(=O)O[C@H]2CCC3CCCC2N3S(=O)(=O)c2ccc(Cl)cc2)CC1,1.7634279935629371
368.3850000000001,3.3699000000000026,2,6,93.06000000000002,8,CHEMBL5199187,Cc1ccc2nc3c(c(NCCN4CCOCC4)c2c1)CCCC3,4.177276711258586
250.301,3.4662000000000024,0,2,32.67,2,CHEMBL3582129,C[C@@]1(O)c2ccc3c(c2C(=O)c2occ([C@@H](O)CCO)c21)CCC3=O,4.856734930597929
467.83500000000015,2.714700000000001,2,7,111.72,4,CHEMBL3639383,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(C(F)(F)F)c2)ccc1O,2.1172712956557644
435.3810000000002,3.2682800000000016,2,6,113.39,3,CHEMBL4874507,COc1cc(/C=C/C(=O)N2CC(C(=O)N3CCOCC3)C2)ccc1OCc1ccccc1,4.552315284510609
